Financial Year,Financial Quarter,Force Name,Offence Description,Offence Group,Offence Subgroup,Offence Code,Number of Offences
2017/18,3,Cheshire,Causing death by careless or inconsiderate driving,Violence against the person,Violence with injury,4.8,-00 
2017/18,3,Cheshire,Causing death by driving: unlicensed or disqualified or uninsured drivers,Violence against the person,Violence with injury,4.9,-00 
2017/18,3,Cheshire,Causing death or serious injury by dangerous driving,Violence against the person,Violence with injury,4.4, 1 
2017/18,3,Cheshire,Causing or allowing death of child or vulnerable person,Violence against the person,Violence with injury,4.7,-00 
2017/18,3,Cheshire,Causing sexual activity without consent,Sexual offences,Other sexual offences,22A, 1 
2017/18,3,Cheshire,Child abduction,Violence against the person,Violence without injury,13, 6 
2017/18,3,Cheshire,Concealing an infant death close to birth,Miscellaneous crimes,Miscellaneous crimes,15,-00 
2017/18,3,Cheshire,Conspiracy to murder,Violence against the person,Violence without injury,3A,-00 
2017/18,3,Cheshire,Criminal damage to a building other than a dwelling,Criminal damage and arson,Criminal damage,58B, 260 
2017/18,3,Cheshire,Criminal damage to a dwelling,Criminal damage and arson,Criminal damage,58A, 685 
2017/18,3,Cheshire,Criminal damage to a vehicle,Criminal damage and arson,Criminal damage,58C, 1121 
2017/18,3,Cheshire,Cruelty to children/young persons,Violence against the person,Violence without injury,11A, 57 
2017/18,3,Cheshire,Dangerous driving,Miscellaneous crimes,Miscellaneous crimes,802, 13 
2017/18,3,Cheshire,"Disclosure, obstruction, false or misleading statements etc",Miscellaneous crimes,Miscellaneous crimes,95, 1 
2017/18,3,Cheshire,Dishonest use of electricity,Theft offences,Other theft offences,43, 7 
2017/18,3,Cheshire,Distraction burglary in a dwelling (outcome only),Theft offences,Domestic burglary,28C,-00 
2017/18,3,Cheshire,Distraction Burglary Residential,Theft offences,Domestic burglary,28G, 9 
2017/18,3,Cheshire,Endangering life,Violence against the person,Violence with injury,5E, 7 
2017/18,3,Cheshire,Exploitation of prostitution,Miscellaneous crimes,Miscellaneous crimes,24,-00 
2017/18,3,Cheshire,Exposure and voyeurism,Sexual offences,Other sexual offences,88E, 49 
2017/18,3,Cheshire,Forgery or use of false drug prescription,Miscellaneous crimes,Miscellaneous crimes,60, 1 
2017/18,3,Cheshire,"Fraud, forgery etc associated with vehicle or driver records",Miscellaneous crimes,Miscellaneous crimes,814,-00 
2017/18,3,Cheshire,"Going equipped for stealing, etc",Miscellaneous crimes,Miscellaneous crimes,33, 20 
2017/18,3,Cheshire,Handling stolen goods,Miscellaneous crimes,Miscellaneous crimes,54, 17 
2017/18,3,Cheshire,Harassment,Violence against the person,Stalking and harassment,8L, 741 
2017/18,3,Cheshire,Homicide,Violence against the person,Homicide,1/4.1/4.10/4.2,-00 
2017/18,3,Cheshire,Homicide,Violence against the person,Homicide,1/4.1/4.10/4.2,-00 
2017/18,3,Cheshire,Homicide,Violence against the person,Homicide,1/4.1/4.10/4.2,-00 
2017/18,3,Cheshire,Homicide,Violence against the person,Homicide,1/4.1/4.10/4.2,-00 
2017/18,3,Cheshire,Incest or familial sexual offences,Sexual offences,Other sexual offences,23, 5 
2017/18,3,Cheshire,Intentional destruction of a viable unborn child,Violence against the person,Violence with injury,4.3,-00 
2017/18,3,Cheshire,Interfering with a motor vehicle,Theft offences,Vehicle interference,126, 140 
2017/18,3,Cheshire,Kidnapping,Violence against the person,Violence without injury,36, 17 
2017/18,3,Cheshire,Making off without payment,Theft offences,Other theft offences,49A, 409 
2017/18,3,Cheshire,"Making, supplying or possessing articles for use in fraud",Miscellaneous crimes,Miscellaneous crimes,33A, 5 
2017/18,3,Cheshire,Malicious Communications,Violence against the person,Stalking and harassment,8R, 1019 
2017/18,3,Cheshire,Modern slavery,Violence against the person,Violence without injury,106, 8 
2017/18,3,Cheshire,Obscene publications etc,Miscellaneous crimes,Miscellaneous crimes,86, 120 
2017/18,3,Cheshire,Offender Management Act offences,Miscellaneous crimes,Miscellaneous crimes,69, 13 
2017/18,3,Cheshire,Other criminal damage,Criminal damage and arson,Criminal damage,58D, 618 
2017/18,3,Cheshire,Other drug offences,Drug offences,Possession of drugs,92C, 1 
2017/18,3,Cheshire,Other firearms offences,Possession of weapons offences,Possession of weapons offences,81,-00 
2017/18,3,Cheshire,Other forgery,Miscellaneous crimes,Miscellaneous crimes,61, 4 
2017/18,3,Cheshire,Other knives offences,Possession of weapons offences,Possession of weapons offences,90,-00 
2017/18,3,Cheshire,Other miscellaneous sexual offences,Sexual offences,Other sexual offences,88C, 1 
2017/18,3,Cheshire,Other notifiable offences,Miscellaneous crimes,Miscellaneous crimes,99, 18 
2017/18,3,Cheshire,Other offences against the State or public order,Public order offences,Public order offences,66, 336 
2017/18,3,Cheshire,Other theft,Theft offences,Other theft offences,49, 1164 
2017/18,3,Cheshire,Perjury,Miscellaneous crimes,Miscellaneous crimes,67,-00 
2017/18,3,Cheshire,Perverting the course of justice,Miscellaneous crimes,Miscellaneous crimes,79, 52 
2017/18,3,Cheshire,Possession of article with blade or point,Possession of weapons offences,Possession of weapons offences,10D, 65 
2017/18,3,Cheshire,Possession of controlled drugs (Cannabis),Drug offences,Possession of drugs,92E, 318 
2017/18,3,Cheshire,Possession of controlled drugs (excl. Cannabis),Drug offences,Possession of drugs,92D, 132 
2017/18,3,Cheshire,Possession of false documents,Miscellaneous crimes,Miscellaneous crimes,61A,-00 
2017/18,3,Cheshire,Possession of firearms offences,Possession of weapons offences,Possession of weapons offences,10B, 10 
2017/18,3,Cheshire,Possession of firearms with intent,Possession of weapons offences,Possession of weapons offences,10A, 5 
2017/18,3,Cheshire,Possession of other weapons,Possession of weapons offences,Possession of weapons offences,10C, 30 
2017/18,3,Cheshire,Procuring illegal abortion,Violence against the person,Violence without injury,14,-00 
2017/18,3,Cheshire,Profiting from or concealing knowledge of the proceeds of crime,Miscellaneous crimes,Miscellaneous crimes,38, 14 
2017/18,3,Cheshire,"Public fear, alarm or distress",Public order offences,Public order offences,9A, 4415 
2017/18,3,Cheshire,Racially or religiously aggravated assault with injury,Violence against the person,Violence with injury,8P, 12 
2017/18,3,Cheshire,Racially or religiously aggravated assault without injury,Violence against the person,Violence without injury,105B, 14 
2017/18,3,Cheshire,Racially or religiously aggravated criminal damage,Criminal damage and arson,Criminal damage,58J, 10 
2017/18,3,Cheshire,Racially or religiously aggravated harassment,Violence against the person,Stalking and harassment,8M, 1 
2017/18,3,Cheshire,"Racially or religiously aggravated public fear, alarm or distress",Public order offences,Public order offences,9B, 144 
2017/18,3,Cheshire,Rape of a female aged 16 and over,Sexual offences,Rape offences,19C, 121 
2017/18,3,Cheshire,Rape of a female child under 13,Sexual offences,Rape offences,19E, 39 
2017/18,3,Cheshire,Rape of a female child under 16,Sexual offences,Rape offences,19D, 29 
2017/18,3,Cheshire,Rape of a male aged 16 and over,Sexual offences,Rape offences,19F, 6 
2017/18,3,Cheshire,Rape of a male child under 13,Sexual offences,Rape offences,19H, 8 
2017/18,3,Cheshire,Rape of a male child under 16,Sexual offences,Rape offences,19G, 5 
2017/18,3,Cheshire,Robbery of business property,Robbery,Robbery of business property,34A, 15 
2017/18,3,Cheshire,Robbery of personal property,Robbery,Robbery of personal property,34B, 104 
2017/18,3,Cheshire,Sexual activity etc with a person with a mental disorder,Sexual offences,Other sexual offences,70,-00 
2017/18,3,Cheshire,Sexual activity involving a child under 13,Sexual offences,Other sexual offences,21, 42 
2017/18,3,Cheshire,Sexual activity involving child under 16,Sexual offences,Other sexual offences,22B, 75 
2017/18,3,Cheshire,Sexual assault on a female aged 13 and over,Sexual offences,Other sexual offences,20A, 137 
2017/18,3,Cheshire,Sexual assault on a female child under 13,Sexual offences,Other sexual offences,20B, 60 
2017/18,3,Cheshire,Sexual assault on a male aged 13 and over,Sexual offences,Other sexual offences,17A, 21 
2017/18,3,Cheshire,Sexual assault on a male child under 13,Sexual offences,Other sexual offences,17B, 27 
2017/18,3,Cheshire,Sexual grooming,Sexual offences,Other sexual offences,88A, 12 
2017/18,3,Cheshire,Shoplifting,Theft offences,Shoplifting,46, 1914 
2017/18,3,Cheshire,Soliciting for the purposes of prostitution,Miscellaneous crimes,Miscellaneous crimes,27, 1 
2017/18,3,Cheshire,Stalking,Violence against the person,Stalking and harassment,8Q, 49 
2017/18,3,Cheshire,Theft by an employee,Theft offences,Other theft offences,41, 79 
2017/18,3,Cheshire,Theft from automatic machine or meter,Theft offences,Other theft offences,47, 31 
2017/18,3,Cheshire,Theft from the person,Theft offences,Theft from the person,39, 180 
2017/18,3,Cheshire,Theft from vehicle,Theft offences,Theft from a vehicle,45, 569 
2017/18,3,Cheshire,Theft in a dwelling other than from an automatic machine or meter,Theft offences,Other theft offences,40, 230 
2017/18,3,Cheshire,Theft of mail,Theft offences,Other theft offences,42, 3 
2017/18,3,Cheshire,Theft or unauthorised taking of a pedal cycle,Theft offences,Bicycle theft,44, 324 
2017/18,3,Cheshire,Theft or unauthorised taking of motor vehicle,Theft offences,Theft of a motor vehicle,48, 254 
2017/18,3,Cheshire,Threat or possession with intent to commit criminal damage,Miscellaneous crimes,Miscellaneous crimes,59, 250 
2017/18,3,Cheshire,Threats to kill,Violence against the person,Violence without injury,3B, 61 
2017/18,3,Cheshire,Trafficking for sexual exploitation,Sexual offences,Other sexual offences,72,-00 
2017/18,3,Cheshire,Trafficking in controlled drugs,Drug offences,Trafficking of drugs,92A, 138 
2017/18,3,Cheshire,Unnatural sexual offences,Sexual offences,Other sexual offences,88D,-00 
2017/18,3,Cheshire,Violent disorder,Public order offences,Public order offences,62A, 2 
2017/18,3,Cheshire,Wildlife,Miscellaneous crimes,Miscellaneous crimes,96,-00 
2017/18,3,CIFAS,Fraud offences recorded by CIFAS,Fraud offences,Fraud: CIFAS,CIFAS, 63381 
2017/18,3,Cleveland,Absconding from lawful custody,Miscellaneous crimes,Miscellaneous crimes,80, 1 
2017/18,3,Cleveland,Abuse of children through sexual exploitation,Sexual offences,Other sexual offences,71,-00 
2017/18,3,Cleveland,Abuse of position of trust of a sexual nature,Sexual offences,Other sexual offences,73, 1 
2017/18,3,Cleveland,Aggravated Burglary Business and Community,Theft offences,Non-domestic burglary,31A, 1 
2017/18,3,Cleveland,Aggravated burglary in a building other than a dwelling(outcome only),Theft offences,Non-domestic burglary,31,-00 
2017/18,3,Cleveland,Aggravated burglary in a dwelling (outcome only),Theft offences,Domestic burglary,29,-00 
2017/18,3,Cleveland,Aggravated Burglary Residential,Theft offences,Domestic burglary,29A, 13 
2017/18,3,Cleveland,Aggravated vehicle taking,Theft offences,Theft of a motor vehicle,37.2, 27 
2017/18,3,Cleveland,Aiding suicide,Miscellaneous crimes,Miscellaneous crimes,76,-00 
2017/18,3,Cleveland,Arson endangering life,Criminal damage and arson,Arson,56A, 15 
2017/18,3,Cleveland,Arson not endangering life,Criminal damage and arson,Arson,56B, 86 
2017/18,3,Cleveland,Assault with injury,Violence against the person,Violence with injury,8N, 1254 
2017/18,3,Cleveland,Assault with injury on a constable,Violence against the person,Violence with injury,8S, 18 
2017/18,3,Cleveland,Assault with intent to cause serious harm,Violence against the person,Violence with injury,5D, 43 
2017/18,3,Cleveland,Assault without injury,Violence against the person,Violence without injury,105A, 1374 
2017/18,3,Cleveland,Assault without injury on a constable,Violence against the person,Violence without injury,104, 47 
2017/18,3,Cleveland,Attempted Burglary Business and Community,Theft offences,Non-domestic burglary,30D, 58 
2017/18,3,Cleveland,Attempted burglary in a building other than a dwelling (outcome only),Theft offences,Non-domestic burglary,30B,-00 
2017/18,3,Cleveland,Attempted burglary in a dwelling (outcome only),Theft offences,Domestic burglary,28B,-00 
2017/18,3,Cleveland,Attempted Burglary Residential,Theft offences,Domestic burglary,28F, 214 
2017/18,3,Cleveland,Attempted distraction burglary in a dwelling (outcome only),Theft offences,Domestic burglary,28D,-00 
2017/18,3,Cleveland,Attempted Distraction Burglary Residential,Theft offences,Domestic burglary,28H,-00 
2017/18,3,Cleveland,Attempted murder,Violence against the person,Violence with injury,2,-00 
2017/18,3,Cleveland,Bail offences,Miscellaneous crimes,Miscellaneous crimes,83,-00 
2017/18,3,Cleveland,Bigamy,Miscellaneous crimes,Miscellaneous crimes,26,-00 
2017/18,3,Cleveland,Blackmail,Theft offences,Other theft offences,35, 14 
2017/18,3,Cleveland,Burglary Business and Community,Theft offences,Non-domestic burglary,30C, 402 
2017/18,3,Cleveland,Burglary in a building other than a dwelling (outcome only),Theft offences,Non-domestic burglary,30A,-00 
2017/18,3,Cleveland,Burglary in a dwelling(outcome only),Theft offences,Domestic burglary,28A,-00 
2017/18,3,Cleveland,Burglary Residential,Theft offences,Domestic burglary,28E, 1010 
2017/18,3,Cleveland,Causing death by aggravated vehicle taking,Violence against the person,Violence with injury,37.1,-00 
2017/18,3,Cleveland,Causing death by careless driving under influence of drink or drugs,Violence against the person,Violence with injury,4.6,-00 
2017/18,3,Cleveland,Causing death by careless or inconsiderate driving,Violence against the person,Violence with injury,4.8,-00 
